%YYMM   CRD 
1985.02   13400.00 
1985.03   25100.00 
1985.04   24400.00 
1985.05   26600.00 
1985.06   36600.00 
1985.07   42800.00 
1985.08   34000.00 
1985.09   34600.00 
1985.10   31000.00 
1985.11   19700.00 
1985.12   13100.00 
1986.01    9520.00 
1986.02    9150.00 
1986.03   11900.00 
1986.04   19700.00 
1986.05   23900.00 
1986.06   30000.00 
1986.07   47300.00 
1986.08   34000.00 
1986.09   29900.00 
1986.10   25200.00 
1986.11   18600.00 
1986.12   11600.00 
1987.01    9290.00 
1987.02    7600.00 
1987.03   10500.00 
1987.04   21000.00 
1987.05   25200.00 
1987.06   30400.00 
1987.07   48000.00 
1987.08   46200.00 
1987.09   41200.00 
1987.10   35500.00 
1987.11   27000.00 
1987.12   15200.00 
1988.01    9950.00 
1988.02   10300.00 
1988.03   19200.00 
1988.04   22600.00 
1988.05   27000.00 
1988.06   32600.00 
1988.07   34900.00 
1988.08   34500.00 
1988.09   57000.00 
1988.10   37600.00 
1988.11   19600.00 
1988.12   10300.00 
1989.01   11758.00 
1989.02   14025.00 
1989.03   18200.00 
1989.04   30467.00 
1989.05   38067.00 
1989.06   40160.00 
1989.07   54380.00 
1989.08   42825.00 
1989.09   42420.00 
1989.10   33425.00 
1989.11   27900.00 
1989.12   15225.00 
1990.01   12380.00 
1990.02   17283.00 
1990.03   23350.00 
1990.04   28160.00 
1990.05   31267.00 
1990.06   41914.00 
1990.07   53114.00 
1990.08   39667.00 
1990.09   31867.00 
1990.10   29260.00 
1990.11   24325.00 
1990.12   14780.00 
1991.01   13800.00 
1991.02   18800.00 
1991.03   20200.00 
1991.04   31000.00 
1991.05   33400.00 
1991.06   37700.00 
1991.07   54200.00 
1991.08   48600.00 
1991.09   39500.00 
1991.10   27900.00 
1991.11   16400.00 
1991.12   11200.00 
1992.01   10900.00 
1992.02   12100.00 
1992.03   23000.00 
1992.04   39500.00 
1992.05   39100.00 
1992.06   40700.00 
1992.07   59900.00 
1992.08   35300.00 
1992.09   23300.00 
1992.10   22200.00 
1992.11   13700.00 
1992.12    9260.00 
1993.01   10500.00 
1993.02    9630.00 
1993.03   16500.00 
1993.04   20400.00 
1993.05   29700.00 
1993.06   36800.00 
1993.07   56200.00 
1993.08   57100.00 
1993.09   53800.00 
1993.10   35200.00 
1993.11   26000.00 
1993.12   18200.00 
1994.01   11900.00 
1994.02   13300.00 
1994.03   16400.00 
1994.04   25200.00 
1994.05   32300.00 
1994.06   43400.00 
1994.07   44800.00 
1994.08   34600.00 
1994.09   30900.00 
1994.10   32100.00 
1994.11   19600.00 
